card_name,collector_num,colors,rarity,desired_qty,owned,qty_owned
Final Punishment,67,['B'],rare,1,N,0
Lethal Vapors,68,['B'],rare,1,N,0
Lingering Death,69,['B'],common,4,N,0
Nefashu,70,['B'],rare,1,N,0
Putrid Raptor,71,['B'],uncommon,3,N,0
Reaping the Graves,72,['B'],common,4,N,0
Skulltap,73,['B'],common,4,N,0
Soul Collector,74,['B'],rare,1,N,0
Tendrils of Agony,75,['B'],uncommon,3,N,0
Twisted Abomination,76,['B'],common,4,N,0
Unburden,77,['B'],common,4,N,0
Undead Warchief,78,['B'],uncommon,3,N,0
Unspeakable Symbol,79,['B'],uncommon,3,N,0
Vengeful Dead,80,['B'],common,4,N,0
Zombie Cutthroat,81,['B'],common,4,N,0
Bonethorn Valesk,82,['R'],common,4,N,0
Carbonize,83,['R'],uncommon,3,N,0
Chartooth Cougar,84,['R'],common,4,N,0
Decree of Annihilation,85,['R'],rare,1,N,0
Dragon Breath,86,['R'],common,4,N,0
Dragon Mage,87,['R'],rare,1,N,0
Dragon Tyrant,88,['R'],rare,1,N,0
Dragonspeaker Shaman,89,['R'],uncommon,3,N,0
Dragonstorm,90,['R'],rare,1,N,0
Enrage,91,['R'],uncommon,3,N,0
Extra Arms,92,['R'],uncommon,3,N,0
Form of the Dragon,93,['R'],rare,1,N,0
Goblin Brigand,94,['R'],common,4,N,0
Goblin Psychopath,95,['R'],uncommon,3,N,0
Goblin War Strike,96,['R'],common,4,N,0
Goblin Warchief,97,['R'],uncommon,3,N,0
Grip of Chaos,98,['R'],rare,1,N,0
Misguided Rage,99,['R'],common,4,N,0
Pyrostatic Pillar,100,['R'],uncommon,3,N,0
Rock Jockey,101,['R'],common,4,N,0
Scattershot,102,['R'],common,4,N,0
Siege-Gang Commander,103,['R'],rare,1,N,0
Skirk Volcanist,104,['R'],uncommon,3,N,0
Spark Spray,105,['R'],common,4,N,0
Sulfuric Vortex,106,['R'],rare,1,N,0
Torrent of Fire,107,['R'],common,4,N,0
Uncontrolled Infestation,108,['R'],common,4,N,0
Accelerated Mutation,109,['G'],common,4,N,0
Alpha Status,110,['G'],uncommon,3,N,0
Ambush Commander,111,['G'],rare,1,N,0
Ancient Ooze,112,['G'],rare,1,N,0
Break Asunder,113,['G'],common,4,N,0
Claws of Wirewood,114,['G'],uncommon,3,N,0
Decree of Savagery,115,['G'],rare,1,N,0
Divergent Growth,116,['G'],common,4,N,0
Dragon Fangs,117,['G'],common,4,N,0
Elvish Aberration,118,['G'],uncommon,3,N,0
Fierce Empath,119,['G'],common,4,N,0
Forgotten Ancient,120,['G'],rare,1,N,0
Hunting Pack,121,['G'],uncommon,3,N,0
Krosan Drover,122,['G'],common,4,N,0
Krosan Warchief,123,['G'],uncommon,3,N,0
Kurgadon,124,['G'],uncommon,3,N,0
One with Nature,125,['G'],uncommon,3,N,0
Primitive Etchings,126,['G'],rare,1,N,0
Root Elemental,127,['G'],rare,1,N,0
Sprouting Vines,128,['G'],common,4,N,0
Titanic Bulvox,129,['G'],common,4,N,0
Treetop Scout,130,['G'],common,4,N,0
Upwelling,131,['G'],rare,1,N,0
Wirewood Guardian,132,['G'],common,4,N,0
Wirewood Symbiote,133,['G'],uncommon,3,N,0
Woodcloaker,134,['G'],common,4,N,0
Xantid Swarm,135,['G'],rare,1,N,0
Bladewing the Risen,136,"['B', 'R']",rare,1,N,0
Edgewalker,137,"['B', 'W']",uncommon,3,N,0
"Karona, False God",138,"['B', 'G', 'R', 'U', 'W']",rare,1,N,0
Sliver Overlord,139,"['B', 'G', 'R', 'U', 'W']",rare,1,N,0
Ark of Blight,140,['C'],uncommon,3,N,0
Proteus Machine,141,['C'],uncommon,3,N,0
Stabilizer,142,['C'],rare,1,N,0
Temple of the False God,143,['C'],uncommon,3,N,0
