card_name,collector_num,colors,rarity,desired_qty,owned,qty_owned
Weaver of Lies,57,['U'],rare,1,N,0
Willbender,58,['U'],uncommon,3,N,0
Aphetto Exterminator,59,['B'],uncommon,3,N,0
Bane of the Living,60,['B'],rare,1,N,0
Blood Celebrant,61,['B'],common,4,N,0
Corpse Harvester,62,['B'],uncommon,3,N,0
Crypt Sliver,63,['B'],common,4,N,0
Dark Supplicant,64,['B'],uncommon,3,N,0
Deathmark Prelate,65,['B'],uncommon,3,N,0
Drinker of Sorrow,66,['B'],rare,1,N,0
Dripping Dead,67,['B'],common,4,N,0
Earthblighter,68,['B'],uncommon,3,N,0
Embalmed Brawler,69,['B'],common,4,N,0
Gempalm Polluter,70,['B'],common,4,N,0
Ghastly Remains,71,['B'],rare,1,N,0
Goblin Turncoat,72,['B'],common,4,N,0
Graveborn Muse,73,['B'],rare,1,N,0
Havoc Demon,74,['B'],rare,1,N,0
Hollow Specter,75,['B'],rare,1,N,0
Infernal Caretaker,76,['B'],common,4,N,0
Noxious Ghoul,77,['B'],uncommon,3,N,0
Phage the Untouchable,78,['B'],rare,1,N,0
Scion of Darkness,79,['B'],rare,1,N,0
Skinthinner,80,['B'],common,4,N,0
Smokespew Invoker,81,['B'],common,4,N,0
Sootfeather Flock,82,['B'],common,4,N,0
Spectral Sliver,83,['B'],uncommon,3,N,0
Toxin Sliver,84,['B'],rare,1,N,0
Vile Deacon,85,['B'],common,4,N,0
Withered Wretch,86,['B'],uncommon,3,N,0
Zombie Brute,87,['B'],uncommon,3,N,0
Blade Sliver,88,['R'],uncommon,3,N,0
Bloodstoke Howler,89,['R'],common,4,N,0
Clickslither,90,['R'],rare,1,N,0
Crested Craghorn,91,['R'],common,4,N,0
Flamewave Invoker,92,['R'],common,4,N,0
Frenetic Raptor,93,['R'],uncommon,3,N,0
Gempalm Incinerator,94,['R'],uncommon,3,N,0
Goblin Assassin,95,['R'],uncommon,3,N,0
Goblin Clearcutter,96,['R'],uncommon,3,N,0
Goblin Dynamo,97,['R'],uncommon,3,N,0
Goblin Firebug,98,['R'],common,4,N,0
Goblin Goon,99,['R'],rare,1,N,0
Goblin Grappler,100,['R'],common,4,N,0
Goblin Lookout,101,['R'],common,4,N,0
Hunter Sliver,102,['R'],common,4,N,0
Imperial Hellkite,103,['R'],rare,1,N,0
Kilnmouth Dragon,104,['R'],rare,1,N,0
Lavaborn Muse,105,['R'],rare,1,N,0
Macetail Hystrodon,106,['R'],common,4,N,0
Magma Sliver,107,['R'],rare,1,N,0
Ridgetop Raptor,108,['R'],uncommon,3,N,0
Rockshard Elemental,109,['R'],rare,1,N,0
Shaleskin Plower,110,['R'],common,4,N,0
Skirk Alarmist,111,['R'],rare,1,N,0
Skirk Drill Sergeant,112,['R'],uncommon,3,N,0
Skirk Marauder,113,['R'],common,4,N,0
Skirk Outrider,114,['R'],common,4,N,0
Unstable Hulk,115,['R'],rare,1,N,0
Warbreak Trumpeter,116,['R'],uncommon,3,N,0
Berserk Murlodont,117,['G'],common,4,N,0
Branchsnap Lorian,118,['G'],uncommon,3,N,0
Brontotherium,119,['G'],uncommon,3,N,0
Brood Sliver,120,['G'],rare,1,N,0
Caller of the Claw,121,['G'],rare,1,N,0
Canopy Crawler,122,['G'],uncommon,3,N,0
Defiant Elf,123,['G'],common,4,N,0
Elvish Soultiller,124,['G'],rare,1,N,0
Enormous Baloth,125,['G'],uncommon,3,N,0
Feral Throwback,126,['G'],rare,1,N,0
Gempalm Strider,127,['G'],uncommon,3,N,0
Glowering Rogon,128,['G'],common,4,N,0
Hundroog,129,['G'],common,4,N,0
Krosan Cloudscraper,130,['G'],rare,1,N,0
Krosan Vorine,131,['G'],common,4,N,0
Nantuko Vigilante,132,['G'],common,4,N,0
Needleshot Gourna,133,['G'],common,4,N,0
Patron of the Wild,134,['G'],common,4,N,0
Primal Whisperer,135,['G'],rare,1,N,0
Quick Sliver,136,['G'],common,4,N,0
Root Sliver,137,['G'],uncommon,3,N,0
Seedborn Muse,138,['G'],rare,1,N,0
Stonewood Invoker,139,['G'],common,4,N,0
Timberwatch Elf,140,['G'],common,4,N,0
Totem Speaker,141,['G'],uncommon,3,N,0
Tribal Forcemage,142,['G'],rare,1,N,0
Vexing Beetle,143,['G'],rare,1,N,0
Wirewood Channeler,144,['G'],uncommon,3,N,0
Wirewood Hivemaster,145,['G'],uncommon,3,N,0
